ID;title;artist;year;place
573;Memories;Maroon 5;2019;1
574;Lose You To Love Me;Selena Gomez;2019;2
575;Someone You Loved;Lewis Capaldi;2019;3
576;Se�orita;Shawn Mendes;2019;4
577;How Do You Sleep?;Sam Smith;2019;5
578;South of the Border (feat. Camila Cabello & Cardi B);Ed Sheeran;2019;6
579;Trampoline (with ZAYN);SHAED;2019;7
580;Happier;Marshmello;2019;8
581;Truth Hurts;Lizzo;2019;9
582;Good as Hell (feat. Ariana Grande) - Remix;Lizzo;2019;10
583;Higher Love;Kygo;2019;11
584;Only Human;Jonas Brothers;2019;12
585;Beautiful People (feat. Khalid);Ed Sheeran;2019;13
586;Sucker;Jonas Brothers;2019;14
587;Don't Call Me Up;Mabel;2019;15
588;I Don't Care (with Justin Bieber);Ed Sheeran;2019;16
589;Talk (feat. Disclosure);Khalid;2019;17
590;Giant (with Rag'n'Bone Man);Calvin Harris;2019;18
591;Takeaway;The Chainsmokers;2019;19
592;All Around The World (La La La);R3HAB;2019;20
593;Girls Like You (feat. Cardi B);Maroon 5;2019;21
594;Call You Mine;The Chainsmokers;2019;22
595;No Guidance (feat. Drake);Chris Brown;2019;23
596;Antisocial (with Travis Scott);Ed Sheeran;2019;24
597;Taki Taki (feat. Selena Gomez, Ozuna & Cardi B);DJ Snake;2019;25
598;Con Calma - Remix;Daddy Yankee;2019;26
599;Find U Again (feat. Camila Cabello);Mark Ronson;2019;27
600;Cross Me (feat. Chance the Rapper & PnB Rock);Ed Sheeran;2019;28
601;No Brainer (feat. Justin Bieber, Chance the Rapper & Quavo);DJ Khaled;2019;29
602;Nothing Breaks Like a Heart (feat. Miley Cyrus);Mark Ronson;2019;30
603;Kills You Slowly;The Chainsmokers;2019;31
